date,open,high,low,close,volume,amount,code,frequency
2000-05-08,1848.1700,1852.9000,1828.1000,1836.6400,895863100,9370446848.0000,sh.000001,d
2000-05-09,1839.0000,1839.2900,1799.8200,1806.6400,911762100,9442887680.0000,sh.000001,d
2000-05-10,1801.4300,1801.6400,1750.0100,1752.6900,943105900,8447193088.0000,sh.000001,d
2000-05-11,1750.8600,1762.1300,1718.8900,1724.0500,843716900,8141305856.0000,sh.000001,d
2000-05-12,1725.8700,1740.9500,1715.0600,1720.6100,740417900,7146073088.0000,sh.000001,d
2000-05-15,1722.6400,1726.7200,1695.5300,1704.5900,709465400,6642869248.0000,sh.000001,d
2000-05-16,1706.7300,1725.9000,1706.7300,1724.5400,533545300,5311438848.0000,sh.000001,d
2000-05-17,1727.4300,1736.2700,1722.7100,1725.4000,525767900,5381897728.0000,sh.000001,d
2000-05-18,1725.6000,1758.5400,1719.8400,1758.5400,835414200,7887885824.0000,sh.000001,d
2000-05-19,1761.7900,1777.9800,1754.8800,1777.8300,955398700,10186382336.0000,sh.000001,d
2000-05-22,1785.8900,1830.9300,1783.3000,1824.7400,1465531100,15293806592.0000,sh.000001,d
2000-05-23,1834.4400,1836.9900,1811.5800,1832.0800,1246957100,12572759040.0000,sh.000001,d
2000-05-24,1835.5600,1861.4800,1831.8400,1855.4900,1586085800,16279508992.0000,sh.000001,d
2000-05-25,1866.5600,1880.7200,1860.7800,1880.7000,1680910400,18349950976.0000,sh.000001,d
2000-05-26,1885.7500,1890.6900,1860.9200,1879.6200,2060252200,18315575296.0000,sh.000001,d
2000-05-29,1885.5500,1900.6700,1882.7400,1898.7500,1802915400,18860832768.0000,sh.000001,d
2000-05-30,1903.5300,1908.3100,1868.6100,1877.4700,1651899900,16860800000.0000,sh.000001,d
2000-05-31,1875.4600,1894.5800,1869.3400,1894.5500,1576023000,16247708672.0000,sh.000001,d
2000-06-01,1900.5300,1906.8200,1890.0000,1903.4900,1465459400,15427005440.0000,sh.000001,d
2000-06-02,1906.1600,1916.2500,1897.7100,1916.2500,1784034800,17480910848.0000,sh.000001,d
2000-06-05,1921.9700,1930.3400,1889.8200,1899.0900,2921614400,21494091776.0000,sh.000001,d
2000-06-06,1898.5900,1925.5500,1891.6700,1925.5400,1712012400,16217410560.0000,sh.000001,d
2000-06-07,1934.3800,1940.2200,1921.3800,1935.0300,1557392500,15843602432.0000,sh.000001,d
2000-06-08,1937.2000,1938.5500,1913.3700,1925.2100,1708662000,15226676224.0000,sh.000001,d
2000-06-09,1926.1500,1929.9500,1896.0600,1900.7900,1518552400,14353959936.0000,sh.000001,d
2000-06-12,1896.4300,1912.5900,1884.6200,1912.5600,1203959400,12487747584.0000,sh.000001,d
2000-06-13,1918.1900,1938.6700,1917.1900,1938.6700,1442766300,13872238592.0000,sh.000001,d
2000-06-14,1944.4400,1949.1700,1929.7100,1932.2900,1615082700,15923456000.0000,sh.000001,d
2000-06-15,1933.0600,1942.3300,1925.9100,1942.2900,1411675700,14026909696.0000,sh.000001,d
2000-06-16,1945.7000,1947.4600,1919.4000,1926.9400,1470605100,14588988416.0000,sh.000001,d
2000-06-19,1924.6900,1926.9800,1910.4700,1915.2100,1188086900,12038242304.0000,sh.000001,d
2000-06-20,1913.0700,1913.0700,1888.0800,1895.3500,1013549500,9752542208.0000,sh.000001,d
2000-06-21,1894.7800,1913.1500,1894.6300,1913.1300,834891000,8754411520.0000,sh.000001,d
2000-06-22,1918.1600,1921.1500,1906.3000,1913.9000,905429300,9545648128.0000,sh.000001,d
2000-06-23,1915.3100,1939.6300,1913.6500,1939.6300,1199392200,12747644928.0000,sh.000001,d
2000-06-26,1946.7000,1953.3400,1943.2500,1948.6400,1406204800,14136452096.0000,sh.000001,d
2000-06-27,1949.7800,1952.4600,1938.1400,1942.9000,1198005200,11628690432.0000,sh.000001,d
2000-06-28,1943.9800,1953.0600,1940.0500,1947.4800,1123954000,12112091136.0000,sh.000001,d
2000-06-29,1949.8500,1951.1300,1924.4700,1937.2600,1191984100,12264638464.0000,sh.000001,d
2000-06-30,1937.8400,1941.4000,1924.9700,1928.1100,1246758400,12624404480.0000,sh.000001,d
2000-07-03,1917.4400,1917.4500,1890.5300,1895.6400,1577223800,11983824896.0000,sh.000001,d
2000-07-04,1891.2100,1907.9400,1888.2500,1907.9300,1440475600,8581330944.0000,sh.000001,d
2000-07-05,1910.4200,1918.9100,1904.4700,1909.1900,1302842800,8073743360.0000,sh.000001,d
2000-07-06,1909.2400,1910.0500,1896.6600,1902.5500,980290300,8824960000.0000,sh.000001,d
2000-07-07,1904.0900,1932.8300,1904.0900,1932.7900,1165036200,10742165504.0000,sh.000001,d
2000-07-10,1938.8400,1948.0600,1932.9600,1948.0200,1452462700,14072031232.0000,sh.000001,d
2000-07-11,1952.2600,1960.6000,1947.6700,1960.5400,1443838800,14391814144.0000,sh.000001,d
2000-07-12,1965.2300,1974.4100,1960.3500,1973.3700,1391952600,14906316800.0000,sh.000001,d
2000-07-13,1978.5500,1984.0700,1963.5500,1979.2000,1816010800,19350097920.0000,sh.000001,d
2000-07-14,1981.7800,1987.2200,1972.6200,1987.1900,1621570900,16334687232.0000,sh.000001,d
