date,open,high,low,close,volume,amount,code,frequency
2016-01-04,3536.5890,3538.6890,3295.7410,3296.2580,18441842432,240929157120.0000,sh.000001,d
2016-01-05,3196.6510,3328.1390,3189.6050,3287.7110,26688208384,328417226752.0000,sh.000001,d
2016-01-06,3291.1950,3362.9740,3288.9330,3361.8400,23888667136,285243224064.0000,sh.000001,d
2016-01-07,3309.6570,3309.6570,3115.8850,3125.0020,7056912384,79981989888.0000,sh.000001,d
2016-01-08,3194.6250,3235.4510,3056.8780,3186.4120,28644082176,324167135232.0000,sh.000001,d
2016-01-11,3131.8530,3166.2150,3016.6970,3016.7040,27164369152,286379626496.0000,sh.000001,d
2016-01-12,3026.1590,3047.6640,2978.4630,3022.8610,20765962240,224135434240.0000,sh.000001,d
2016-01-13,3041.1070,3059.0150,2949.2900,2949.5970,19428210688,208376045568.0000,sh.000001,d
2016-01-14,2874.0490,3012.2930,2867.5530,3007.6490,21290564352,218013655040.0000,sh.000001,d
2016-01-15,2988.0480,3001.7080,2883.8680,2900.9700,19872169728,206603968512.0000,sh.000001,d
2016-01-18,2847.5390,2945.4500,2844.7040,2913.8370,16469969408,173619961856.0000,sh.000001,d
2016-01-19,2914.4080,3012.0680,2906.4040,3007.7390,20527970304,222674800640.0000,sh.000001,d
2016-01-20,2993.0140,3016.2830,2951.9220,2976.6940,21650547456,234562924544.0000,sh.000001,d
2016-01-21,2934.3910,2998.7900,2880.0850,2880.4820,19167566848,203634573312.0000,sh.000001,d
2016-01-22,2911.1120,2931.3590,2851.7330,2916.5620,15981073408,170062245888.0000,sh.000001,d
2016-01-25,2934.0780,2955.7830,2911.8290,2938.5150,15303905792,164023398400.0000,sh.000001,d
2016-01-26,2907.7180,2911.9910,2743.8390,2749.7850,21083605504,212608151552.0000,sh.000001,d
2016-01-27,2756.0820,2768.7720,2638.3020,2735.5580,21572204544,207426674688.0000,sh.000001,d
2016-01-28,2711.1580,2740.5360,2647.4930,2655.6610,17112027904,167357415424.0000,sh.000001,d
2016-01-29,2652.8540,2755.3670,2649.7910,2737.6000,18667310592,180006813696.0000,sh.000001,d
2016-02-01,2730.9840,2735.2550,2655.6230,2688.8540,15638374400,152830742528.0000,sh.000001,d
2016-02-02,2687.9820,2755.1590,2687.9820,2749.5700,15807821056,158936801280.0000,sh.000001,d
2016-02-03,2719.5740,2746.0720,2696.8840,2739.2470,14839721728,146627121152.0000,sh.000001,d
2016-02-04,2751.4320,2793.2980,2751.3140,2781.0230,17038201856,175347388416.0000,sh.000001,d
2016-02-05,2783.0760,2790.0610,2762.1600,2763.4920,14118628352,145553629184.0000,sh.000001,d
2016-02-15,2684.9610,2760.3590,2682.0900,2746.1960,12926393088,129321054208.0000,sh.000001,d
2016-02-16,2758.5790,2840.6220,2758.5790,2836.5710,19596161536,198969135104.0000,sh.000001,d
2016-02-17,2829.7640,2868.7010,2824.3560,2867.3380,21690992384,225964249088.0000,sh.000001,d
2016-02-18,2881.7770,2893.2150,2857.6990,2862.8930,21920387328,230775054336.0000,sh.000001,d
2016-02-19,2854.9040,2872.7240,2840.4880,2860.0210,16339141376,178424844288.0000,sh.000001,d
2016-02-22,2888.5980,2933.9640,2880.3470,2927.1750,23217604096,238682816512.0000,sh.000001,d
2016-02-23,2925.7080,2928.0480,2872.2820,2903.3310,19974066432,211548950528.0000,sh.000001,d
2016-02-24,2889.8850,2929.8710,2872.2740,2928.8960,21341038336,227851644928.0000,sh.000001,d
2016-02-25,2922.2370,2922.2370,2729.8510,2741.2450,27028441600,271767142400.0000,sh.000001,d
2016-02-26,2760.0580,2784.7530,2715.8740,2767.2100,19111047168,190068985856.0000,sh.000001,d
2016-02-29,2754.8140,2755.8900,2638.9630,2687.9790,20741070848,194640195584.0000,sh.000001,d
2016-03-01,2688.3800,2747.5620,2668.7570,2733.1700,18720744192,182185537536.0000,sh.000001,d
2016-03-02,2733.7670,2852.7000,2732.5390,2849.6810,27096178432,259318767616.0000,sh.000001,d
2016-03-03,2847.3310,2878.4450,2840.8740,2859.7580,28747821056,279971934208.0000,sh.000001,d
2016-03-04,2848.5380,2880.3720,2808.8490,2874.1470,31249516800,294982111232.0000,sh.000001,d
2016-03-07,2886.6400,2911.8390,2871.3460,2897.3400,21746683648,208559325184.0000,sh.000001,d
2016-03-08,2895.6660,2902.6210,2802.5630,2901.3870,23348265984,220513955840.0000,sh.000001,d
2016-03-09,2839.4110,2863.0150,2811.7180,2862.5560,18335538432,177072558080.0000,sh.000001,d
2016-03-10,2847.5670,2863.1760,2803.4760,2804.7260,13897946112,141812412416.0000,sh.000001,d
2016-03-11,2781.6000,2815.6070,2772.5510,2810.3070,12724755456,128450314240.0000,sh.000001,d
2016-03-14,2830.0840,2889.8160,2823.0280,2859.4990,19481603072,202793148416.0000,sh.000001,d
2016-03-15,2853.9780,2865.7870,2819.7950,2864.3680,16338666752,170219524096.0000,sh.000001,d
2016-03-16,2858.7090,2881.5290,2854.1920,2870.4300,18649253632,190193856512.0000,sh.000001,d
2016-03-17,2875.4110,2921.0000,2857.1910,2904.8320,20029021184,213843632128.0000,sh.000001,d
2016-03-18,2915.5180,2971.5510,2908.7420,2955.1500,31333273600,328241160192.0000,sh.000001,d
2016-03-21,2978.4550,3028.3220,2973.7580,3018.8020,35240043776,380823080960.0000,sh.000001,d
2016-03-22,3001.6300,3019.1010,2988.4260,2999.3630,27037732096,311025315840.0000,sh.000001,d
2016-03-23,2991.1690,3012.5600,2980.8550,3009.9600,21697746176,256328163328.0000,sh.000001,d
2016-03-24,2986.8010,2998.1540,2960.5370,2960.9700,23700640256,274795126784.0000,sh.000001,d
2016-03-25,2956.2000,2981.4080,2952.1060,2979.4340,17507434496,200818438144.0000,sh.000001,d
2016-03-28,2988.0100,3008.1680,2948.5260,2957.8200,20202124032,232323731456.0000,sh.000001,d
2016-03-29,2956.7050,2962.2030,2905.2510,2919.8320,18296534528,201625833472.0000,sh.000001,d
2016-03-30,2941.2180,3001.1060,2941.2180,3000.6450,21037145088,234410622976.0000,sh.000001,d
2016-03-31,3009.3670,3023.4090,2992.9160,3003.9150,22041344512,252219756544.0000,sh.000001,d
2016-04-01,2997.0880,3009.6730,2956.2470,3009.5300,20654586624,217520533504.0000,sh.000001,d
2016-04-05,3000.9380,3057.3300,2993.1480,3053.0650,25673034496,276654686208.0000,sh.000001,d
2016-04-06,3039.7450,3059.7940,3029.0050,3050.5920,23226205184,254914555904.0000,sh.000001,d
2016-04-07,3058.3390,3062.3580,3007.0600,3008.4200,22091950592,243961815040.0000,sh.000001,d
2016-04-08,2988.2000,2996.1710,2960.4600,2984.9580,18790463232,207337095168.0000,sh.000001,d
2016-04-11,3006.9090,3048.9770,3006.9090,3033.9570,22001832448,252328394752.0000,sh.000001,d
2016-04-12,3031.3010,3036.8250,3001.3150,3023.6460,18271866880,207079809024.0000,sh.000001,d
2016-04-13,3041.3580,3097.1650,3041.3580,3066.6380,31000324608,331420684288.0000,sh.000001,d
2016-04-14,3080.0900,3086.6980,3056.9890,3082.3620,20823782912,235056058368.0000,sh.000001,d
2016-04-15,3085.0260,3089.9510,3066.8720,3078.1170,18961305088,224141312000.0000,sh.000001,d
2016-04-18,3058.4630,3058.4630,3022.9700,3033.6600,18330451200,208613085184.0000,sh.000001,d
2016-04-19,3047.1330,3054.5030,3024.8950,3042.8230,15653319936,180948013056.0000,sh.000001,d
2016-04-20,3050.3810,3055.6890,2905.0490,2972.5840,28314422016,311154872320.0000,sh.000001,d
2016-04-21,2954.3700,2990.6730,2943.4640,2952.8910,18940684800,206477127680.0000,sh.000001,d
2016-04-22,2933.0350,2960.2090,2926.7760,2959.2400,13721166848,148800430080.0000,sh.000001,d
2016-04-25,2949.9730,2954.0920,2917.0200,2946.6700,12585624320,140638756864.0000,sh.000001,d
2016-04-26,2944.7160,2965.4290,2933.9710,2964.7000,11771160320,134292459520.0000,sh.000001,d
2016-04-27,2967.1900,2976.0220,2949.4320,2953.6710,13086764032,150286303232.0000,sh.000001,d
2016-04-28,2955.7420,2959.5120,2916.3740,2945.5890,13866327296,154614697984.0000,sh.000001,d
2016-04-29,2935.3760,2950.5760,2930.3570,2938.3240,10931062784,128502730752.0000,sh.000001,d
2016-05-03,2940.3920,2993.5350,2929.8150,2992.6430,16870364416,195816603648.0000,sh.000001,d
2016-05-04,2983.0270,3004.4180,2978.3300,2991.2720,16540710656,189046374400.0000,sh.000001,d
2016-05-05,2987.0220,2999.1180,2977.2000,2997.8420,14483138304,163113775104.0000,sh.000001,d
2016-05-06,2998.4020,3003.5900,2913.0360,2913.2480,20679649792,234077433856.0000,sh.000001,d
2016-05-09,2896.1620,2896.1620,2821.8260,2832.1130,18037832960,188705685504.0000,sh.000001,d
2016-05-10,2822.3270,2845.2380,2820.1640,2832.5910,12082930944,128535265280.0000,sh.000001,d
2016-05-11,2843.5450,2857.2540,2818.6990,2837.0370,13579546624,146022522880.0000,sh.000001,d
2016-05-12,2812.1080,2839.2760,2781.2360,2835.8620,13633765632,140838629376.0000,sh.000001,d
2016-05-13,2828.4620,2850.0930,2814.1150,2827.1090,11431971072,123692646400.0000,sh.000001,d
2016-05-16,2816.7750,2851.2290,2804.9910,2850.8620,11465359104,126844297216.0000,sh.000001,d
2016-05-17,2850.9260,2860.3210,2832.4590,2843.6840,12336906496,140000997376.0000,sh.000001,d
2016-05-18,2828.1780,2828.2550,2781.4170,2807.5140,14048782592,149396819968.0000,sh.000001,d
2016-05-19,2802.3150,2829.4020,2801.5480,2806.9060,11159507200,124151054336.0000,sh.000001,d
2016-05-20,2792.8880,2825.9520,2785.0800,2825.4830,10870089984,123794591744.0000,sh.000001,d
2016-05-23,2826.3120,2848.0710,2826.2560,2843.6450,12047045632,139950366720.0000,sh.000001,d
2016-05-24,2839.6820,2839.6950,2807.1880,2821.6660,11145244416,121096060928.0000,sh.000001,d
2016-05-25,2835.0290,2843.1650,2807.7490,2815.0860,10352726528,117767630848.0000,sh.000001,d
2016-05-26,2813.5430,2827.0920,2780.7630,2822.4430,11476679680,127105183744.0000,sh.000001,d
2016-05-27,2817.9680,2832.7990,2809.7990,2821.0460,10984582400,123858866176.0000,sh.000001,d
2016-05-30,2814.6510,2830.9700,2794.6610,2822.4510,10631958784,115587477504.0000,sh.000001,d
2016-05-31,2822.5930,2917.1350,2822.5930,2916.6160,21526034176,236528504832.0000,sh.000001,d
2016-06-01,2917.1540,2929.0760,2909.5120,2913.5080,18838642176,219868045312.0000,sh.000001,d
2016-06-02,2911.2190,2925.6700,2906.5240,2925.2290,15971691520,185084899328.0000,sh.000001,d
2016-06-03,2929.7880,2945.5190,2915.1850,2938.6820,17202102272,211302477824.0000,sh.000001,d
2016-06-06,2940.9940,2945.9420,2922.2830,2934.0980,14199374336,172426792960.0000,sh.000001,d
2016-06-07,2936.2820,2938.4440,2923.5020,2936.0450,13298786816,163605602304.0000,sh.000001,d
2016-06-08,2932.3760,2937.9860,2908.3670,2927.1590,14304607232,177377308672.0000,sh.000001,d
2016-06-13,2897.2730,2911.1580,2832.5070,2833.0710,16925543424,198547767296.0000,sh.000001,d
2016-06-14,2824.2290,2843.4560,2822.0610,2842.1890,11975527424,138531749888.0000,sh.000001,d
2016-06-15,2814.6930,2894.2640,2811.7810,2887.2100,16667106816,197199331328.0000,sh.000001,d
2016-06-16,2878.4020,2887.7430,2865.3880,2872.8170,17388276736,201957154816.0000,sh.000001,d
2016-06-17,2873.0090,2900.2990,2872.1850,2885.1050,17147251712,195432493056.0000,sh.000001,d
