date,open,high,low,close,volume,amount,code,frequency,log_close,log_return
2000-01-05,1407.83,1433.78,1398.32,1409.68,1057939200,8137326080.0,sh.000001,d,7.251118007260475,0.0023508116150935065
2000-01-06,1406.04,1463.96,1400.25,1463.94,1348051700,9520842752.0,sh.000001,d,7.2888867100748485,0.03776870281437332
2000-01-07,1477.15,1522.83,1477.15,1516.6,3486939600,19487195136.0,sh.000001,d,7.324226266266835,0.03533955619198652
2000-01-10,1531.71,1546.72,1506.4,1545.11,3125304400,18779111424.0,sh.000001,d,7.342850384208433,0.018624117941598645
2000-01-11,1547.68,1547.71,1468.76,1479.78,2192456800,15771749376.0,sh.000001,d,7.299648707060206,-0.04320167714822693
2000-01-12,1473.76,1489.28,1435.0,1438.02,1522193400,12656691200.0,sh.000001,d,7.271022446390115,-0.02862626067009143
2000-01-13,1437.45,1444.07,1418.81,1424.44,861194300,7468732928.0,sh.000001,d,7.261534033008769,-0.009488413381346171
2000-01-14,1426.22,1433.47,1401.71,1408.85,744701300,6256399360.0,sh.000001,d,7.250529047750382,-0.011004985258387577
2000-01-17,1408.99,1433.38,1402.66,1433.33,764797600,6290277888.0,sh.000001,d,7.267755687429444,0.01722663967906299
2000-01-18,1436.89,1443.59,1421.64,1426.62,776713000,7072431104.0,sh.000001,d,7.263063289092366,-0.004692398337078529
2000-01-19,1425.87,1443.67,1425.14,1440.72,800479200,6493590016.0,sh.000001,d,7.272898267611698,0.00983497851933137
2000-01-20,1443.09,1466.9,1443.09,1466.86,1007080300,8875429888.0,sh.000001,d,7.290879340732808,0.01798107312111048
2000-01-21,1471.91,1476.46,1458.93,1465.09,1505077200,13743475712.0,sh.000001,d,7.28967195301131,-0.001207387721498197
2000-01-24,1465.86,1477.41,1449.47,1477.34,1624150700,14606044160.0,sh.000001,d,7.297998452384207,0.008326499372897476
2000-01-25,1483.03,1490.46,1467.44,1476.51,1363598300,12996698112.0,sh.000001,d,7.297436473934493,-0.0005619784497141586
2000-01-26,1477.3,1482.46,1469.98,1481.12,1038443700,9577442304.0,sh.000001,d,7.300553837318901,0.0031173633844082103
2000-01-27,1490.45,1506.92,1485.23,1506.77,1897997400,15992564736.0,sh.000001,d,7.317723565877184,0.017169728558282745
2000-01-28,1514.56,1536.35,1510.75,1535.0,2938816200,20709478400.0,sh.000001,d,7.336285660021297,0.018562094144113857
2000-02-14,1591.45,1674.13,1587.82,1673.94,4356913200,23157620736.0,sh.000001,d,7.4229354081131635,0.086649748091866
2000-02-15,1709.22,1746.44,1663.01,1670.67,5254342400,34925486080.0,sh.000001,d,7.420980022557352,-0.001955385555812222
2000-02-16,1674.94,1695.88,1649.7,1693.11,3743554800,34009001984.0,sh.000001,d,7.434322353442418,0.013342330885067298
2000-02-17,1734.27,1770.88,1615.63,1640.65,5143906800,47262171136.0,sh.000001,d,7.402847783759128,-0.031474569683290474
2000-02-18,1623.96,1668.16,1583.58,1668.09,2678535400,25842489344.0,sh.000001,d,7.419434538297606,0.016586754538478674
2000-02-21,1681.36,1697.01,1652.48,1677.14,3101120400,32615790592.0,sh.000001,d,7.4248452407478105,0.005410702450203633
2000-02-22,1681.3,1687.51,1627.47,1632.29,2425177600,26178822144.0,sh.000001,d,7.397739215816405,-0.027106024931404776
2000-02-23,1618.01,1630.55,1586.63,1594.93,1918572800,18577262592.0,sh.000001,d,7.37458512710854,-0.023154088707865023
2000-02-24,1593.95,1634.32,1593.93,1634.31,1393287500,14762156032.0,sh.000001,d,7.398975975907925,0.024390848799384315
2000-02-25,1639.92,1650.37,1618.18,1631.58,1705805400,18504671232.0,sh.000001,d,7.397304149461925,-0.0016718264459998607
2000-02-28,1639.8,1704.88,1639.7,1704.86,2612794600,24422227968.0,sh.000001,d,7.441238274909338,0.04393412544741345
2000-02-29,1728.14,1733.14,1678.35,1714.58,2867874800,32196007936.0,sh.000001,d,7.446923431648455,0.005685156739116253
2000-03-01,1720.6,1721.14,1692.51,1697.74,2248767400,23873890304.0,sh.000001,d,7.437053233827828,-0.009870197820627032
2000-03-02,1697.56,1721.6,1682.54,1713.01,1959349600,20352632832.0,sh.000001,d,7.446007336018698,0.008954102190870108
2000-03-03,1728.36,1750.65,1721.71,1738.02,2481549800,25767591936.0,sh.000001,d,7.460501813238989,0.014494477220291109
2000-03-06,1756.31,1762.83,1678.74,1681.09,2650470800,26614910976.0,sh.000001,d,7.42719767153521,-0.03330414170377837
2000-03-07,1661.95,1694.89,1654.44,1694.8,1768501600,16439373824.0,sh.000001,d,7.435320018752404,0.008122347217193897
2000-03-08,1699.46,1726.04,1690.12,1726.03,1974594400,17218283520.0,sh.000001,d,7.453579252720595,0.01825923396819082
2000-03-09,1734.77,1741.22,1714.92,1732.35,1787738000,18604742656.0,sh.000001,d,7.457234147229206,0.0036548945086111928
2000-03-10,1731.94,1743.14,1701.79,1705.05,1587236400,16393991168.0,sh.000001,d,7.441349714800829,-0.01588443242837691
2000-03-13,1706.77,1729.01,1706.35,1728.88,1982662600,12882606080.0,sh.000001,d,7.455229078994772,0.013879364193942346
2000-03-14,1690.65,1700.37,1636.89,1685.35,2287044400,18661144576.0,sh.000001,d,7.429728536350192,-0.02550054264457981
2000-03-15,1680.3,1695.16,1676.54,1681.47,1678216400,15695372288.0,sh.000001,d,7.4274236898079655,-0.00230484654222629
2000-03-16,1671.1,1671.18,1596.07,1607.53,1979159000,13637411840.0,sh.000001,d,7.382454118457072,-0.044969571350893515
2000-03-17,1602.36,1661.98,1602.34,1658.6,1533672400,13891457024.0,sh.000001,d,7.413729152017103,0.031275033560031404
2000-03-20,1646.31,1699.28,1641.77,1699.25,1817380000,17219844096.0,sh.000001,d,7.437942256226748,0.024213104209644284
2000-03-21,1704.09,1713.21,1692.68,1710.32,1635110200,17635837952.0,sh.000001,d,7.444435766492153,0.006493510265404954
2000-03-22,1713.24,1726.59,1711.16,1720.45,1465842100,16886303744.0,sh.000001,d,7.450341163495863,0.005905397003710419
2000-03-23,1724.19,1747.28,1711.41,1747.24,1674314100,17434437632.0,sh.000001,d,7.465792679061421,0.015451515565558484
2000-03-24,1761.44,1770.26,1729.48,1730.5,2203672000,22607366144.0,sh.000001,d,7.4561656630753985,-0.009627015986022353
2000-03-27,1736.7,1776.02,1736.7,1775.91,1992731200,20103073792.0,sh.000001,d,7.482068246592385,0.0259025835169853
2000-03-28,1788.83,1799.95,1774.48,1791.44,2448436800,22388465664.0,sh.000001,d,7.4907750446965755,0.00870679810419164
2000-03-29,1797.88,1803.83,1763.62,1788.81,2302668200,19240343552.0,sh.000001,d,7.489305873285047,-0.0014691714115290942
2000-03-30,1793.68,1811.06,1790.85,1810.98,2930543200,18011625472.0,sh.000001,d,7.501623414200124,0.012317540915077212
2000-03-31,1810.55,1810.9,1780.41,1800.23,2334036400,18552252416.0,sh.000001,d,7.495669713499149,-0.005953700700975124
2000-04-03,1799.58,1816.86,1798.25,1801.0,1886111200,17921349632.0,sh.000001,d,7.496097345175956,0.0004276316768072148
2000-04-04,1795.16,1795.16,1755.98,1760.69,1712827200,14832918528.0,sh.000001,d,7.473461056657004,-0.022636288518952503
2000-04-05,1756.3,1776.72,1746.3,1771.2,1360323900,12164237312.0,sh.000001,d,7.479412561954373,0.00595150529736896
2000-04-06,1775.78,1809.17,1775.68,1809.14,1500703300,14467557376.0,sh.000001,d,7.50060687322444,0.021194311270066896
2000-04-07,1816.79,1822.62,1807.54,1819.9,1608126300,15683968000.0,sh.000001,d,7.506536833506361,0.005929960281921789
2000-04-10,1826.61,1831.85,1815.99,1826.06,1680915200,16191766528.0,sh.000001,d,7.509915919322636,0.0033790858162746256
2000-04-11,1826.4,1828.06,1812.01,1821.17,1424547700,14330834944.0,sh.000001,d,7.507234430669559,-0.002681488653076444
2000-04-12,1822.4,1823.83,1785.33,1807.33,1364303300,12673772544.0,sh.000001,d,7.499605897050918,-0.007628533618641701
2000-04-13,1807.84,1832.08,1807.71,1831.55,1654905800,14957162496.0,sh.000001,d,7.5129178818735305,0.013311984822612552
2000-04-14,1835.86,1840.19,1820.67,1833.67,1790547200,16789066752.0,sh.000001,d,7.514074702056996,0.0011568201834657526
2000-04-17,1829.62,1829.93,1778.88,1795.06,1982174000,18006790144.0,sh.000001,d,7.492793726547581,-0.02128097550941509
2000-04-18,1794.34,1813.57,1779.29,1813.5,1320473400,12563870720.0,sh.000001,d,7.503013958722957,0.010220232175376369
2000-04-19,1819.08,1831.57,1817.21,1828.71,1276616000,13317001216.0,sh.000001,d,7.511366079231141,0.008352120508184227
2000-04-20,1831.66,1847.51,1831.49,1847.03,1653310800,16462800896.0,sh.000001,d,7.521334222622826,0.00996814339168517
2000-04-21,1851.31,1858.27,1834.85,1841.06,1624462900,17091940352.0,sh.000001,d,7.5180967716851645,-0.003237450937661839
2000-04-24,1844.7,1848.97,1827.17,1837.4,1642779100,15628040192.0,sh.000001,d,7.5161068078373665,-0.00198996384779845
2000-04-25,1838.05,1841.86,1815.63,1833.47,1077140400,11112366080.0,sh.000001,d,7.513965625228623,-0.0021411826087423752
2000-04-26,1835.67,1842.89,1826.39,1832.78,1016383800,10596524032.0,sh.000001,d,7.51358921881436,-0.00037640641426344503
2000-04-27,1835.6,1840.57,1803.58,1806.83,1233293400,12226652160.0,sh.000001,d,7.499329207583274,-0.014260011231086554
2000-04-28,1805.5,1836.33,1797.71,1836.32,1097131200,11368102912.0,sh.000001,d,7.515518847932358,0.01618964034908446
